Blog	four	every	even	new	ever	never	here	would	music	me	room	work	my	want	keep	how	after	over	before	better	then	them	they	each	mean	used	re	got	free	created	days	isn	already	another	service	top	too	took	project	though	don	m	pope	just	watch	bad	best	said	against	games	com	asked	appeared	three	been	much	life	easy	if	things	make	left	yet	had	has	online	night	right	old	people	post	months	o	down	support	way	was	war	head	tell	check	no	when	together	time	global	everything	did	cost	goes	[	love	working	only	live	going	today	car	can	may	such	man	so	course	still	group	interview	not	now	name	year	looking	internet	million	quite	place	think	first	long	open	little	white	short	than	were	say	any	take	america	]	show	help	get	where	ways	between	come	many	according	west	photos	those	case	these	someone	different	same	week	without	being	money	blog	real	around	read	world	business	or	your	her	there	start	lot	ad	am	an	again	building	all	month	thursday	th	woman	very	list	small	past	will	what	full	hours	put	two	more	company	media	through	its	actually	might	good	always	hard	idea	thing	really	since	feel	story	part	also	most	find	sure	his	during	him	set	art	see	are	won	probably	both	simple	look	while	person	using	big	game	d	google	often	some	back	by	into	up	us	doesn	train	once	go	does	facebook	video	let	great	makes	app	use	from	next	few	started	do	high	something	stop	including	ll	day	our	out	york	ask	could	their	need	which	who	why	face	should	means	years	she	we	email	news	last	ve	almost	site	off	i	well	less	web	book	government	know	like	because	twitter	home	getting	own	he	made	other
Joho the Blog	0	1	1	2	1	0	1	3	2	3	0	0	9	1	0	3	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	4	0	2	0	0	0	1	3	0	0	0	10	1	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	11	0	3	0	0	0	5	0	0	3	0	2	0	0	0	0	0	1	0	2	9	0	0	2	0	1	0	0	1	0	0	0	3	1	1	0	0	12	2	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	2	0	0	8	0	0	1	0	0	0	1	0	0	0	0	0	1	2	3	1	3	1	0	0	0	11	1	1	0	0	0	0	0	1	2	0	0	5	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	1	3	2	0	0	1	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	2	0	1	0	0	1	0	0	2	2	6	1	0	0	4	0	1	0	0	0	2	0	0	0	19	0	0	0	0	3	2	4	2	1	0	0	0	0	0	1
ongoing by Tim Bray	0	1	0	2	0	0	2	1	2	1	2	3	5	0	0	0	1	3	0	0	1	1	0	0	1	0	6	2	0	0	1	1	0	0	0	1	1	0	0	0	4	3	0	1	0	1	2	0	0	0	1	1	0	0	2	0	4	1	2	1	0	0	0	2	0	0	0	0	3	0	0	1	0	3	0	2	6	1	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	6	0	0	1	0	0	2	0	2	0	0	0	0	1	1	1	1	0	0	0	1	4	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	1	3	0	0	3	0	0	2	0	0	0	0	1	2	2	7	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	2	7	0	0	0	5	0	2	3	0	0	0	2	0	1	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	3	0	4	1	7	0	1	1	0	0	0	0	0	0	0	0	3	0	0	1	4	2	1	0	2	2	0	0	0	0	6	5	1	0	0	0	1	0	7	0	0	0	1	0	1	0	4	0	1	2	3	0	0	0	28	0	2	2	3	0	1	5	0	0	1	0	0	0	1	0
bogus data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neil Gaiman's Journal	4	9	18	67	13	15	50	55	6	100	2	20	64	20	2	24	20	26	23	5	30	48	85	10	4	3	16	13	8	3	19	6	12	11	2	5	17	8	6	4	11	49	0	26	6	4	11	26	2	2	31	6	0	11	38	33	16	3	59	54	29	7	5	75	35	7	19	15	10	78	9	7	0	6	9	14	163	1	3	8	1	14	54	11	42	5	12	19	2	9	0	15	3	36	4	38	5	1	65	11	7	7	51	4	20	0	18	60	27	8	35	9	4	5	6	14	19	35	18	2	10	5	11	14	59	11	11	10	1	0	11	15	32	27	6	16	19	11	0	4	6	6	5	11	6	7	8	15	9	16	15	15	7	17	32	32	4	83	28	44	64	5	5	0	25	74	13	0	57	8	3	21	5	28	5	10	2	62	59	6	7	20	26	38	0	4	9	18	10	5	33	9	8	16	19	26	6	6	26	16	30	17	13	5	40	3	28	9	76	26	106	11	9	10	2	13	17	1	6	5	1	29	2	3	47	25	76	24	37	54	7	3	7	23	5	6	7	11	11	5	2	7	81	17	18	4	39	5	18	1	7	21	27	28	83	9	8	33	38	16	41	63	14	9	15	5	18	57	179	5	6	29	23	9	4	11	409	12	1	1	45	1	16	53	37	5	5	10	7	59	17	21
Joel on Software	4	24	21	19	2	10	7	12	1	12	2	22	7	25	7	17	5	8	5	12	9	30	75	5	2	6	36	10	11	0	6	1	9	0	0	2	9	2	6	6	22	7	0	22	1	5	5	3	0	0	0	2	0	9	10	8	1	4	33	22	21	1	2	12	25	3	0	6	4	45	4	9	0	8	1	15	37	2	0	3	2	6	22	3	20	0	12	5	2	0	0	4	5	7	1	11	9	3	42	7	2	0	59	2	8	1	0	29	12	0	7	0	5	6	2	4	11	19	6	10	10	0	3	18	13	3	19	7	1	0	1	9	32	11	2	4	5	7	0	0	0	14	3	10	1	9	4	1	5	6	21	5	2	11	5	10	8	41	20	0	23	8	16	0	2	20	0	3	36	3	0	2	0	9	6	4	0	19	16	4	4	2	12	24	10	0	3	2	12	17	6	4	5	8	8	15	8	4	2	2	4	13	11	7	0	1	1	4	16	8	59	1	2	10	2	7	9	1	15	14	1	3	3	5	23	5	15	17	45	15	9	0	2	13	2	0	0	11	26	10	3	11	21	6	9	4	25	1	9	4	0	10	10	32	28	1	18	16	23	15	32	19	9	1	8	2	7	0	123	2	3	2	7	3	6	6	52	6	2	4	0	1	12	22	19	2	1	9	8	1	4	15
flagrantdisregard	0	0	1	0	0	0	0	0	2	1	0	0	4	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	4	1	0	1	0	0	0	0	0	7	2	0	1	0	0	0	0	2	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	1	0	1	0	7	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	2	0	1	0	0	0	0	3	0	1	2	3	0	0	0	3	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	2	0	10	4	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Pharyngula	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	2	8	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	2	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	2	2	1	0	1	0	0	0	0	3	2	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	3	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	1	0	1	1	5	1	0	0	1	0	2	1	0	0	0	1	0	3	0	1
Kotaku	0	0	0	6	1	1	4	0	0	5	2	1	5	1	0	5	0	1	2	1	0	4	5	0	1	0	3	1	0	0	1	1	0	0	0	2	1	0	0	0	2	1	0	1	1	5	0	0	2	2	2	0	0	0	3	1	2	0	5	0	1	1	2	0	4	0	1	1	1	2	1	1	0	1	3	0	8	0	0	1	1	1	1	0	7	0	1	1	0	2	0	0	0	1	1	3	6	0	7	0	0	0	6	2	0	1	0	6	4	1	3	1	0	1	0	0	0	0	1	0	2	1	4	0	1	0	3	1	1	1	4	0	5	1	1	0	0	1	1	0	0	0	0	2	0	1	0	3	0	0	0	0	1	0	25	1	0	4	1	0	2	2	1	0	1	2	0	0	3	1	0	0	2	1	1	0	0	4	4	0	0	2	1	26	4	0	0	3	0	0	1	1	0	2	0	1	0	1	3	0	0	2	1	0	2	1	0	0	0	0	6	0	0	0	0	2	0	0	0	5	9	1	0	0	1	2	5	2	2	4	1	0	0	1	0	1	9	0	2	2	0	0	6	2	0	1	0	0	1	1	2	2	0	2	3	0	0	1	3	1	1	5	1	0	2	0	0	0	9	1	0	2	1	0	0	2	5	2	0	0	0	0	4	4	2	2	0	4	1	0	2	0
Derek Powazek	0	3	1	5	1	3	6	0	0	15	0	3	22	1	0	7	4	5	1	0	7	2	6	1	0	1	7	1	0	0	4	0	1	3	0	2	2	3	0	0	4	12	0	11	1	3	1	3	1	0	1	0	0	4	8	1	5	2	9	1	1	1	1	3	5	2	2	4	2	2	3	2	0	2	0	0	13	0	0	0	0	2	11	1	4	0	2	4	2	2	0	1	0	1	2	4	2	1	8	0	0	1	7	1	4	0	0	6	10	0	4	1	1	0	0	0	4	3	1	1	7	1	1	2	2	3	0	1	0	0	3	0	6	0	1	4	3	1	0	0	2	1	0	2	0	0	3	3	0	0	3	1	0	1	0	3	1	5	6	9	7	0	1	0	3	5	2	0	10	0	0	0	2	1	0	2	0	5	9	1	0	1	9	6	1	2	1	1	0	1	1	4	3	0	4	2	1	5	3	2	2	2	1	1	3	0	2	0	0	3	11	0	1	2	1	0	1	0	1	1	0	2	0	2	3	2	5	4	11	4	0	0	2	4	0	0	0	1	5	0	0	0	5	1	5	2	7	1	8	0	0	4	2	3	9	0	1	1	4	1	2	1	1	1	1	0	5	7	7	0	1	7	11	1	2	1	69	2	1	1	6	0	6	9	3	1	0	2	2	5	2	3
Captain's Quarters	0	0	1	0	0	0	0	1	0	2	0	1	2	0	1	1	3	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	7	0	0	0	0	0	1	2	0	2	0	0	1	0	0	0	0	1	2	0	1	1	0	3	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	3	0	1	1	3	0	0	0	0	0	0	0	0	1	0	4	0	2	0	0	0	6	0	1	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	2	4	2	1	3	0	0	1	0	0	0	0	0	0	0	0	1	3	1	1	1	0	0	0	0	0	0	2	0	4	0	0	0	6	0	0	1	0	0	2	1	2	1	1	0	1	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	6	0	2
ThinkProgress	0	0	1	8	0	0	1	4	0	0	0	0	0	0	0	3	2	0	0	0	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0	0	1	0	1	2	0	0	0	20	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	1	7	20	0	0	2	4	0	2	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	2	0	0	0	2	0	0	0	0	0	0	20	0	0	0	3	0	2	0	1	2	0	1	0	0	4	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	2	1	0	2	0	0	7	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	4	0	3	0	0	0	2	0	0	1	4	0	0	0	0	4	1	3	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	2	4	0	0	3	1	0	3	2	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	2	0	3	0	0	0	1	0	4	0	2
